Super lemma,PoS,Count,Percent,Lemma(ta),Word form(s),Dubium,Disambiguation status
abbatissa,Noun,7,0.327,abbatissa(7),abbatissa(4) abbatissas(3),,green
reclamo,Verb,7,0.327,reclamo(7),reclamantem(1) reclamantemque(1) reclamare(1) reclamaverit(4),,green
adulterium,Noun,7,0.327,adulterium(7),adulterio(4) adulterium(3),,green
velo,Verb,7,0.327,velo(7),velare(3) velatae(1) velatis(1) velaverit(2),,green
beneficium,Noun,7,0.327,beneficium(6) benefitium(1),beneficiis(1) beneficio(1) beneficium(4) benefitium(1),,green
comes,Noun,7,0.327,comes(7),comes(3) comite(2) comitem(1) comites(1),,green
iudicium,Noun,6,0.28,iudicium(6),iudicia(1) iudiciis(1) iudicio(4),,green
paenitentia,Noun,6,0.28,penitentia(2) poenitentia(4),penitentiam(2) poenitentia(2) poenitentiam(2),,green
bene,Adverb,6,0.28,bene(6),bene(1) melius(5),,green
ita,Adverb,6,0.28,ita(6),ita(6),,green
ingenuus,Adjective,6,0.28,ingenuus(6),ingenua(6),,green
coniungo,Verb,6,0.28,coniungo(6),coniuncti(2) coniungendi(1) coniungere(3),,green
consentio,Verb,6,0.28,consentio(6),consenserint(1) consenserit(2) consenserunt(1) consensit(2),,green
perdo,Verb,6,0.28,perdo(6),perdat(6),,green
praesumo,Verb,6,0.28,praesumo(6),praesumat(4) praesumpserit(2),,green
recipio,Verb,6,0.28,recipio(6),recipere(1) recipiantur(1) recipiat(3) recipit(1),,green
scio,Verb,6,0.28,scio(6),sciat(1) sciatis(1) sciebat(1) scimus(2) scit(1),,green
filiastra,Noun,5,0.233,filiastra(5),filiastra(2) filiastram(2) filiastrum(1),,green
iustitia,Noun,5,0.233,iusticia(2) iustitia(3),iusticia(1) iusticiam(1) iustitia(2) iustitias(1),,green
manus,Noun,5,0.233,manus(5),manibus(1) manu(2) manus(1) manuum(1),,green
missus,Noun,5,0.233,missus(5),missi(2) misso(1) missos(1) missum(1),,green
mors,Noun,5,0.233,mors(5),mortem(2) mortis(3),,green
patria,Noun,5,0.233,patria(5),patria(1) patriae(2) patrias(2),,green
teloneum,Noun,5,0.233,theloneum(3) tolloneus(2),theloneis(1) theloneum(2) tolloneos(2),,green
regulariter,Adverb,5,0.233,regulariter(5),regulariter(5),,green
ago,Verb,5,0.233,ago(5),actam(1) agant(1) agat(1) agere(1) agi(1),,green
contemno,Verb,5,0.233,contemno(1) contempno(4),contempserit(1) contempserint(2) contempserit(2),,green
convenio,Verb,5,0.233,convenio(5),conveniant(2) conveniat(1) convenire(1) convenit(1),,green
evenit,Verb,5,0.233,evenit(5),evenerit(5),,green
fio,Verb,5,0.233,fio(5),fiat(3) fieri(2),,green
iubeo,Verb,5,0.233,iubeo(5),iusserint(1) iusserit(4),,green
nescio,Verb,5,0.233,nescio(5),nesciens(1) nesciente(1) nescientibus(1) nescierunt(1) nescivit(1),,green
placet,Verb,5,0.233,placet(5),placet(1) placuerit(1) placuit(3),,green
teneo,Verb,5,0.233,teneo(5),teneant(1) tenent(1) tenere(1) tenuerit(1) tenuntur(1),,green
canon,Noun,5,0.233,canon(5),canone(1) canones(3) canonibus(1),,green
coniugium,Noun,5,0.233,coniugium(5),coniugio(1) coniugium(4),,green
dies,Noun,5,0.233,dies(5),die(3) diem(2),,green
filius,Noun,4,0.187,filius(4),filii(1) filius(3),,green
frater,Noun,4,0.187,frater(4),frater(2) fratrem(1) fratris(1),,green
institutio,Noun,4,0.187,institutio(4),institutionem(4),,green
iussio,Noun,4,0.187,iussio(4),iussione(3) iussionem(1),,green
metropolitanus,Noun,4,0.187,metropolitanus(4),metropolitanorum(2) metropolitanum(2),,green
opus,Noun,4,0.187,opus(4),opere(1) operibus(1) opus(2),,green
parens,Noun,4,0.187,parens(4),parentes(2) parentum(2),,green
pecunia,Noun,4,0.187,pecunia(4),pecuniam(2) pecunias(2),,green
sententia,Noun,4,0.187,sententia(4),sententia(2) sententiam(2),,green
velum,Noun,4,0.187,velum(4),velo(1) velum(3),,green
qualiter,Adverb,4,0.187,qualiter(4),qualiter(4),,green
qualiscumque,Adjective,4,0.187,qualiscumque(4),qualecumque(1) qualicumque(2) qualiscumque(1),,green
quicumque,Adjective,4,0.187,quicumque(4),quicumque(4),,green
tertius,Adjective,4,0.187,tercius(4),tercia(2) tercio(2),,green
talis,Pronoun,4,0.187,talis(4),tale(1) tales(1) tali(2),,green
tantum,Adverb,4,0.187,tantum(4),tantum(4),,green
legitimus,Adjective,4,0.187,legittimus(4),legittima(1) legittimam(3),,green
saecularis,Adjective,4,0.187,secularis(4),seculare(1) seculares(2) secularibus(1),,green
abstineo,Verb,4,0.187,abstineo(4),abstinenda(1) abstinere(2) abstinet(1),,green
compono,Verb,4,0.187,compono(3) conpono(1),componat(3) conponat(1),,green
Pippinus,Personal Name,4,0.187,Pippinus(4),pippini(1) pippino(1) pippinus(2),,green
licet,Verb,4,0.187,licet(4),liceat(3) licuit(1),,green
ordino,Verb,4,0.187,ordino(4),ordinamus(2) ordinare(1) ordinetur(1),,green
pertineo,Verb,4,0.187,perteneo(1) pertineo(3),pertenentem(1) pertinent(2) pertinere(1),,green
reddo,Verb,4,0.187,reddo(4),reddat(2) reddere(1) reddidit(1),,green
annus,Noun,4,0.187,annus(4),anno(4),,green
vapulo,Verb,4,0.187,vapulo(4),vapulentur(2) vapuletur(2),,green
ecclesiasticus,Noun,4,0.187,ecclesiasticus(4),ecclesiastici(1) ecclesiasticis(2) ecclesiastico(1),,green
excommunicatio,Noun,3,0.14,excommunicatio(3),excommunicationem(1) excommunicationis(2),,green
gradus,Noun,3,0.14,gradus(3),gradum(3),,green
incestum,Noun,3,0.14,incestum(3),incestis(1) incestum(2),,green
ingenuus,Noun,3,0.14,ingenuus(3),ingenuo(2) ingenuus(1),,green
iter,Noun,3,0.14,iter(3),itinera(1) itinere(1) itineris(1),,green
maritus,Noun,3,0.14,maritus(3),maritos(2) maritum(1),,green
monachus,Noun,3,0.14,monachus(3),monachi(3),,green
aliubi,Adverb,3,0.14,aliubi(3),aliubi(3),,green
ordinatio,Noun,3,0.14,ordinatio(3),ordinatio(1) ordinationem(2),,green
peregrinus,Noun,3,0.14,peregrinus(3),peregrinis(1) peregrino(1) peregrinos(1),,green
persona,Noun,3,0.14,persona(3),persona(2) personam(1),,green
sacerdos,Noun,3,0.14,sacerdos(3),sacerdotes(1) sacerdotibus(1) sacerdotis(1),,green
unus,Noun,3,0.14,unus(3),uno(1) unus(2),,green
vassallus,Noun,3,0.14,vassallus(3),vassallum(3),,green
voluntas,Noun,3,0.14,voluntas(3),voluntate(1) voluntatem(2),,green
bonus,Adjective,3,0.14,bonus(3),bona(1) boni(1) melius(1),,green
legitime,Adverb,3,0.14,legitime(3),legitime(3),,green
modo,Adverb,3,0.14,modo(3),modo(3),,green
dominicus,Adjective,3,0.14,dominicus(3),dominico(3),,green
emunitas,Noun,3,0.14,emunitas(3),emunitates(3),,green
prolatus,Adjective,3,0.14,prolatus(3),prolata(2) prolatae(1),,green
integer,Adjective,3,0.14,integer(3),integra(1) integreque(1) integrum(1),,green
laicus,Adjective,3,0.14,laicus(3),laici(3),,green
posterus,Adjective,3,0.14,posterus(3),posterior(1) posteriorem(2),,green
Calcedonensis,Personal Name,3,0.14,calcidonensis(3),calcidonense(3),,green
baptizo,Verb,3,0.14,baptizo(3),baptizandi(1) baptizare(2),,green
Georgius,Personal Name,3,0.14,Georgius(3),georgius(3),,green
contineo,Verb,3,0.14,contineo(3),continere(3),,green
cupio,Verb,3,0.14,cupio(3),cupiens(1) cupimus(1) cupit(1),,green
Kalendae,Proper Name,3,0.14,Kalendae(3),kalendas(3),,green
dono,Verb,3,0.14,dono(3),donare(1) donet(2),,green
dormio,Verb,3,0.14,dormio(3),dormierit(3),,green
duco,Verb,3,0.14,duco(3),ducere(1) duxerit(1) duxit(1),,green
exeo,Verb,3,0.14,exeo(3),exeant(1) exire(2),,green
exerceo,Verb,3,0.14,exerceo(3),exerceant(1) exercere(2),,green
fugio,Verb,3,0.14,fugio(3),fugerit(1) fugit(1) fugiunt(1),,green
innotesco,Verb,3,0.14,innotesco(3),innotescat(2) innotuerit(1),,green
praevideo,Verb,3,0.14,praevideo(2) prevideo(1),praevideant(1) praevideat(1) previdere(1),,green
relinquo,Verb,3,0.14,relinquo(3),relicto(1) reliquerit(2),,green
reverto,Verb,3,0.14,reverto(2) revertor(1),revertat(1) revertendum(1) reverti(1),,green
sequor,Verb,3,0.14,sequor(3),secuta(1) secutus(1) sequi(1),,green
sto,Verb,3,0.14,sto(3),stare(3),,green
suscipio,Verb,3,0.14,suscipio(3),susceperit(1) suscepit(1) suscipiendis(1),,green
tollo,Verb,3,0.14,tollo(3),tollant(2) tollatis(1),,green
vado,Verb,3,0.14,vado(3),vadunt(3),,green
volo,Verb,3,0.14,volo(3),vellent(2) vellet(1),,green
baptizatus,Noun,3,0.14,baptizatus(3),baptizato(1) baptizatus(2),,green
consensus,Noun,3,0.14,consensus(3),consenso(1) consensu(1) consensum(1),,green
eleemosyna,Noun,3,0.14,aelimosina(1) elimosina(2),aelimosina(1) elimosina(2),,green
facultas,Noun,2,0.093,facultas(2),facultas(1) facultatem(1),,green
fames,Noun,2,0.093,fames(2),fame(2),,green
forma,Noun,2,0.093,forma(2),forma(1) formam(1),,green
gratia,Noun,2,0.093,gratia(2),gratia(1) gratias(1),,green
honos,Noun,2,0.093,honos(2),honorem(2),,green
ieiunium,Noun,2,0.093,ieiunium(2),ieiunio(2),,green
institutum,Noun,2,0.093,institutum(2),instituta(2),,green
iudex,Noun,2,0.093,iudex(2),iudices(2),,green
ius,Noun,2,0.093,ius(2),iura(2),,green
libertas,Noun,2,0.093,libertas(2),libertate(2),,green
mallus,Noun,2,0.093,mallus(2),mallo(2),,green
mensis,Noun,2,0.093,mensis(2),mense(1) menses(1),,green
misericordia,Noun,2,0.093,misericordia(2),misericordiam(2),,green
monacha,Noun,2,0.093,monacha(2),monachas(2),,green
munus,Noun,2,0.093,munus(2),munera(2),,green
notitia,Noun,2,0.093,notitia(2),notitiam(2),,green
aliter,Adverb,2,0.093,aliter(2),aliter(2),,green
officium,Noun,2,0.093,officium(2),officio(2),,green
oratio,Noun,2,0.093,oratio(2),oratione(1) orationis(1),,green
par,Noun,2,0.093,par(2),pare(1) parem(1),,green
placitum,Noun,2,0.093,placitum(2),placita(1) placitum(1),,green
pretium,Noun,2,0.093,precium(1) pretium(1),precio(1) pretio(1),,green
provincia,Noun,2,0.093,provincia(2),provincia(1) provinciam(1),,green
sacellum,Noun,2,0.093,sacellum(2),sacello(2),,green
scelus,Noun,2,0.093,scelus(2),scelus(2),,green
terra,Noun,2,0.093,terra(2),terra(1) terrae(1),,green
tribulatio,Noun,2,0.093,tribulatio(2),tribulationem(2),,green
verbum,Noun,2,0.093,verbum(2),verbo(1) verbum(1),,green
veritas,Noun,2,0.093,veritas(2),veritate(2),,green
vicis,Noun,2,0.093,vicis(2),vicem(2),,green
christianus,Adjective,2,0.093,christianus(2),christianam(1) christiano(1),,green
Martius,Adjective,2,0.093,Martius(2),martias(2),,green
iterum,Adverb,2,0.093,iterum(2),iterum(2),,green
contaminatus,Adjective,2,0.093,contaminatus(2),contaminatam(2),,green
pleniter,Adverb,2,0.093,pleniter(2),plenius(2),,green
dignus,Adjective,2,0.093,dignus(2),dignae(2),,green
ecclesiasticus,Adjective,2,0.093,ecclesiasticus(2),ecclesiastico(1) ecclesiasticum(1),,green
rationabiliter,Adverb,2,0.093,rationabiliter(2),rationabiliter(2),,green
gloriosus,Adjective,2,0.093,gloriosus(2),gloriosissimo(1) gloriosissimus(1),,green
Roma,Proper Name,2,0.093,Roma(2),romam(2),,green
Francus,Adjective,2,0.093,Francus(2),francam(1) francorum(1),,green
commeatus,Adjective,2,0.093,comeatus(2),comeato(2),,green
conservatus,Adjective,2,0.093,conservatus(2),conservata(1) conservatae(1),,green
duo,Adjective,2,0.093,duo(2),duae(1) duo(1),,green
inluster,Adjective,2,0.093,inluster(2),inluster(2),,green
iste,Pronoun,2,0.093,iste(2),istis(2),,green
ullus,Pronoun,2,0.093,ullus(2),ulla(1) ullum(1),,green
orphanus,Noun,2,0.093,orfanus(2),orfanorum(2),,green
deteneo,Verb,2,0.093,deteneo(2),deteneat(1) deteneatis(1),,green
invitus,Adjective,2,0.093,invitus(2),invitam(2),,green
rachymburgius,Noun,2,0.093,racemburgius(2),racemburgiis(2),,green
similis,Adjective,2,0.093,similis(2),simili(2),,green
spiritalis,Adjective,2,0.093,spiritalis(2),spiritale(1) spiritali(1),,green
universus,Adjective,2,0.093,universus(2),universa(1) universas(1),,green
unus,Adjective,2,0.093,unus(2),una(2),,green
viduus,Adjective,2,0.093,viduus(2),viduarum(2),,green
abstraho,Verb,2,0.093,abstraho(1) abtraho(1),abstraxerit(1) abtraxit(1),,green
adultero,Verb,2,0.093,adultero(2),adulteravit(2),,green
ambulo,Verb,2,0.093,ambulo(2),ambulandum(1) ambulantibus(1),,green
amitto,Verb,2,0.093,amitto(2),amissa(1) amittat(1),,green
cado,Verb,2,0.093,cado(2),cadere(1) ceciderit(1),,green
Francus,Personal Name,2,0.093,Francus(2),francus(2),,green
cognosco,Verb,2,0.093,cognosco(2),cognoscit(1) cognovit(1),,green
committo,Verb,2,0.093,committo(2),commiserit(2),,green
communico,Verb,2,0.093,communico(2),communicat(1) communicaverit(1),,green
consisto,Verb,2,0.093,consisto(2),consistat(2),,green
contingo,Verb,2,0.093,contingit(2),contigerit(1) contigit(1),,green
convinco,Verb,2,0.093,convinco(2),convincere(2),,green
corrigo,Verb,2,0.093,corrego(1) corrigo(1),corregendum(1) correxerit(1),,green
corripio,Verb,2,0.093,corripio(2),correptus(2),,green
degrado,Verb,2,0.093,degrado(2),degradatus(2),,green
deiudico,Verb,2,0.093,deiudico(2),deiudicare(1) deiudicetur(1),,green
distringo,Verb,2,0.093,distringo(2),distringat(1) distringere(1),,green
habito,Verb,2,0.093,habito(2),habitare(1) habitent(1),,green
incipio,Verb,2,0.093,incipio(2),incipit(2),,green
ministro,Verb,2,0.093,ministro(2),ministrare(2),,green
mitto,Verb,2,0.093,mitto(2),miserit(1) mittatur(1),,green
morior,Verb,2,0.093,morior(2),moriantur(1) mortuus(1),,green
perdono,Verb,2,0.093,perdono(2),perdonastis(2),,green
permitto,Verb,2,0.093,permitto(2),permiserit(1) permittantur(1),,green
perpetro,Verb,2,0.093,perpetro(2),perpetraverit(1) perpetraverunt(1),,green
praedico,Verb,2,0.093,praedico(2),praedicandi(1) praedicandum(1),,green
probo,Verb,2,0.093,probo(2),probare(1) probatur(1),,green
abundantia,Noun,2,0.093,habundantia(2),habundantiam(2),,green
reperio,Verb,2,0.093,reperio(2),reperti(2),,green
salvo,Verb,2,0.093,salvo(2),salvandas(1) salvare(1),,green
servo,Verb,2,0.093,servo(2),servent(1) servetur(1),,green
amplius,Noun,2,0.093,amplius(2),amplius(2),,green
anima,Noun,2,0.093,anima(2),animas(2),,green
suspendo,Verb,2,0.093,suspendo(2),suspendatur(1) suspendi(1),,green
transmitto,Verb,2,0.093,transmitto(2),transmiserit(1) transmittat(1),,green
vago,Verb,2,0.093,vago(2),vagandi(1) vagantibus(1),,green
valeo,Verb,2,0.093,valeo(2),valet(1) valete(1),,green
vendo,Verb,2,0.093,vendo(2),vendiderit(2),,green
auctoritas,Noun,2,0.093,auctoritas(2),auctoritas(1) auctoritatem(1),,green
video,Verb,2,0.093,video(2),videntur(1) videtur(1),,green
baptismus,Noun,2,0.093,baptismus(2),baptismo(2),,green
caput,Noun,2,0.093,caput(2),caput(2),,green
carcer,Noun,2,0.093,carcer(2),carcere(1) carcerem(1),,green
ceterus,Noun,2,0.093,ceterus(2),ceteri(2),,green
civitas,Noun,2,0.093,civitas(2),civitates(1) civitatis(1),,green
commeatus,Noun,2,0.093,comiatus(2),comiatum(2),,green
commercium,Noun,2,0.093,commercium(2),commercium(2),,green
concilium,Noun,2,0.093,concilium(2),concilium(2),,green
confirmatio,Noun,2,0.093,confirmatio(2),confirmatione(1) confirmationem(1),,green
consobrina,Noun,2,0.093,consobrina(2),consobrina(2),,green
defensor,Noun,2,0.093,defensor(2),defensor(1) defensores(1),,green
emendatio,Noun,2,0.093,emendatio(2),emendatione(1) emendationem(1),,green
episcopatus,Noun,2,0.093,episcopatus(2),episcopatum(2),,green
exclusa,Noun,1,0.047,exclusa(1),exclusas(1),,green
excussio,Noun,1,0.047,excussio(1),excussionem(1),,green
exsilium,Noun,1,0.047,exilium(1),exilio(1),,green
fideiussor,Noun,1,0.047,fideiussor(1),fideiussores(1),,green
fides,Noun,1,0.047,fides(1),fidem(1),,green
fons,Noun,1,0.047,fons(1),fonte(1),,green
fructus,Noun,1,0.047,fructus(1),fructus(1),,green
generatio,Noun,1,0.047,generatio(1),generatione(1),,green
grex,Noun,1,0.047,grex(1),gregem(1),,green
haeresis,Noun,1,0.047,haeresis(1),haeresis(1),,green
herba,Noun,1,0.047,herba(1),herba(1),,green
hostilitas,Noun,1,0.047,hostilitas(1),hostilitate(1),,green
impositio,Noun,1,0.047,impositio(1),impositione(1),,green
infirmitas,Noun,1,0.047,infirmitas(1),infirmitate(1),,green
infirmus,Noun,1,0.047,infirmus(1),infirmum(1),,green
innupta,Noun,1,0.047,innupta(1),innupta(1),,green
inopia,Noun,1,0.047,inopia(1),inopia(1),,green
inquies,Noun,1,0.047,inquies(1),inquieta(1),,green
inquietudo,Noun,1,0.047,inquietudo(1),inquietudine(1),,green
inservitus,Noun,1,0.047,inservitus(1),inservitus(1),,green
integritas,Noun,1,0.047,integritas(1),integritate(1),,green
intentio,Noun,1,0.047,intentio(1),intentio(1),,green
interdictum,Noun,1,0.047,interdictum(1),interdicta(1),,green
labor,Noun,1,0.047,labor(1),labore(1),,green
lapsus,Noun,1,0.047,lapsus(1),lapsu(1),,green
laus,Noun,1,0.047,laus(1),laude(1),,green
leprosus,Noun,1,0.047,leprosus(1),leprosus(1),,green
letania,Noun,1,0.047,letania(1),letanias(1),,green
liberatus,Noun,1,0.047,liberatus(1),liberatus(1),,green
libertus,Noun,1,0.047,libertus(1),libertus(1),,green
libra,Noun,1,0.047,libra(1),libra(1),,green
lignum,Noun,1,0.047,lignum(1),ligna(1),,green
littera,Noun,1,0.047,littera(1),litteris(1),,green
maior,Noun,1,0.047,maior(1),maior(1),,green
mansio,Noun,1,0.047,mansio(1),mansionem(1),,green
matertera,Noun,1,0.047,matertera(1),matertera(1),,green
militaris,Noun,1,0.047,militaris(1),militari(1),,green
minor,Noun,1,0.047,minor(1),minores(1),,green
missa,Noun,1,0.047,missa(1),missas(1),,green
moneta,Noun,1,0.047,moneta(1),moneta(1),,green
monetarius,Noun,1,0.047,monetarius(1),monetarius(1),,green
mortalia,Noun,1,0.047,mortalia(1),mortalium(1),,green
mortuus,Noun,1,0.047,mortuus(1),mortuo(1),,green
navigium,Noun,1,0.047,navigium(1),navigio(1),,green
neglegentia,Noun,1,0.047,neglegentia(1),neglegentia(1),,green
negotium,Noun,1,0.047,negotium(1),negotio(1),,green
neptis,Noun,1,0.047,neptis(1),neptam(1),,green
nitor,Noun,1,0.047,nitor(1),nitorem(1),,green
nomen,Noun,1,0.047,nomen(1),nomine(1),,green
norma,Noun,1,0.047,norma(1),normae(1),,green
noverca,Noun,1,0.047,noverca(1),noverca(1),,green
nupta,Noun,1,0.047,nepta(1),nepta(1),,green
nuptia,Noun,1,0.047,nuptia(1),nuptias(1),,green
oboedientia,Noun,1,0.047,oboedientia(1),oboedientiam(1),,green
observatio,Noun,1,0.047,observatio(1),observationem(1),,green
occasio,Noun,1,0.047,occasio(1),occasionem(1),,green
ordinans,Noun,1,0.047,ordinans(1),ordinante(1),,green
osculum,Noun,1,0.047,osculum(1),osculum(1),,green
papa,Noun,1,0.047,papa(1),papa(1),,green
pars,Noun,1,0.047,pars(1),parte(1),,green
pastor,Noun,1,0.047,pastor(1),pastore(1),,green
pauper,Noun,1,0.047,pauper(1),pauperes(1),,green
paupertas,Noun,1,0.047,paupertas(1),paupertatem(1),,green
periculum,Noun,1,0.047,periculum(1),periculo(1),,green
persuasus,Noun,1,0.047,persuasus(1),persuasum(1),,green
pietas,Noun,1,0.047,pietas(1),pietatem(1),,green
plaga,Noun,1,0.047,plaga(1),plagis(1),,green
plenus,Noun,1,0.047,plenus(1),plenum(1),,green
pons,Noun,1,0.047,pons(1),pontes(1),,green
populus,Noun,1,0.047,populus(1),populis(1),,green
posteriores,Noun,1,0.047,posteriores(1),posteriores(1),,green
potus,Noun,1,0.047,potus(1),potum(1),,green
praecipiuum,Noun,1,0.047,praecipua(1),praecipuae(1),,green
praesens,Noun,1,0.047,praesens(1),praesens(1),,green
